circRNA,disease,mean_importance,std_importance,n_explanations,rank
circdock1,squamous cell carcinoma of head and neck,0.2442265883088112,0.1432682781760278,20,126
circdock1,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,127
circdync1h1,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,128
circehmt1,breast neoplasms,0.2442265883088112,0.1432682781760278,20,129
circeif4g2,uterine cervical neoplasms,0.2442265883088112,0.1432682781760278,20,130
circepsti1,osteosarcoma,0.2442265883088112,0.1432682781760278,20,131
circepsti1,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,132
circfarsa,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,133
circfat1,osteosarcoma,0.2442265883088112,0.1432682781760278,20,134
circfblim1,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,135
circfgfr1,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,136
circfgfr3,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,137
circfndc3b,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,138
circgfra1,lung neoplasms,0.2442265883088112,0.1432682781760278,20,139
circgfra1,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,140
circgucy1a2,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,141
circhiat1,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,142
circhiat1,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,143
circhiat1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,144
circhipk3,bladder urothelial carcinoma,0.2442265883088112,0.1432682781760278,20,145
circhipk3,breast neoplasms,0.2442265883088112,0.1432682781760278,20,146
circhipk3,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,147
circhipk3,gallbladder neoplasms,0.2442265883088112,0.1432682781760278,20,148
circhipk3,glioma,0.2442265883088112,0.1432682781760278,20,149
circhipk3,liver neoplasms,0.2442265883088112,0.1432682781760278,20,150
circhipk3,lung neoplasms,0.2442265883088112,0.1432682781760278,20,151
circhipk3,pancreatic neoplasms,0.2442265883088112,0.1432682781760278,20,152
circhipk3,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,153
circhipk3,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,154
circhla-c,lupus nephritis,0.2442265883088112,0.1432682781760278,20,155
circibtk,"lupus erythematosus, systemic",0.2442265883088112,0.1432682781760278,20,156
circirak3,breast neoplasms,0.2442265883088112,0.1432682781760278,20,157
circitga7,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,158
